,,,,,,,,,,,a,b
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,1
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,2
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,3
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,4
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,5
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.310344828,6
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.310344828,7
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.310344828,8
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.310344828,9
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.310344828,10
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.310344828,11
0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.287356322,12
0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.287356322,13
0.053016453,0.333333333,0.333333333,0.333333333,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.28231314,14
0.053016453,0.103448276,0.333333333,0.103448276,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.236336128,15
0.053016453,0.103448276,0.333333333,0.103448276,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.236336128,16
0.053016453,0.103448276,0.333333333,0.103448276,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.236336128,17
0.053016453,0.103448276,0.333333333,0.103448276,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.236336128,18
0.04789423,0.103448276,0.333333333,0.103448276,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.235823906,19
0.04789423,0.103448276,0.333333333,0.053016453,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.230780724,20
0.04789423,0.103448276,0.103448276,0.053016453,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.207792218,21
0.04789423,0.103448276,0.103448276,0.053016453,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.207792218,22
0.04789423,0.103448276,0.103448276,0.053016453,0.333333333,0.103448276,0.333333333,0.333333333,0.333333333,0.333333333,,0.207792218,23
0.04789423,0.103448276,0.103448276,0.053016453,0.103448276,0.103448276,0.103448276,0.333333333,0.333333333,0.333333333,,0.161815206,24
0.04789423,0.103448276,0.103448276,0.053016453,0.103448276,0.103448276,0.103448276,0.333333333,0.333333333,0.333333333,,0.161815206,25
0.04789423,0.053016453,0.103448276,0.053016453,0.103448276,0.103448276,0.103448276,0.333333333,0.333333333,0.333333333,,0.156772024,26
0.04789423,0.053016453,0.103448276,0.053016453,0.103448276,0.103448276,0.103448276,0.333333333,0.103448276,0.103448276,,0.110795013,27
0.04789423,0.053016453,0.103448276,0.053016453,0.103448276,0.103448276,0.103448276,0.333333333,0.103448276,0.103448276,,0.110795013,28
0.04789423,0.053016453,0.103448276,0.053016453,0.103448276,0.053016453,0.103448276,0.333333333,0.103448276,0.103448276,,0.10575183,29
0.04789423,0.053016453,0.103448276,0.053016453,0.103448276,0.053016453,0.103448276,0.333333333,0.103448276,0.103448276,,0.10575183,30
0.04789423,0.053016453,0.103448276,0.053016453,0.103448276,0.053016453,0.103448276,0.333333333,0.103448276,0.103448276,,0.10575183,31
0.04789423,0.053016453,0.103448276,0.053016453,0.103448276,0.053016453,0.103448276,0.333333333,0.103448276,0.103448276,,0.10575183,32
0.04789423,0.053016453,0.103448276,0.053016453,0.103448276,0.053016453,0.103448276,0.103448276,0.103448276,0.103448276,,0.082763325,33
0.04789423,0.04789423,0.103448276,0.04789423,0.103448276,0.053016453,0.103448276,0.103448276,0.103448276,0.103448276,,0.08173888,34
0.04789423,0.04789423,0.103448276,0.04789423,0.605442177,0.053016453,0.103448276,0.103448276,0.103448276,0.103448276,,0.13193827,35
0.04789423,0.04789423,0.103448276,0.494679557,0.605442177,0.053016453,0.103448276,0.103448276,0.103448276,0.103448276,,0.176616803,36
0.04789423,0.04789423,0.103448276,0.494679557,0.605442177,0.053016453,0.103448276,0.103448276,0.103448276,0.103448276,,0.176616803,37
0.04789423,0.494679557,0.103448276,0.494679557,0.605442177,0.053016453,0.103448276,0.103448276,0.103448276,0.103448276,,0.221295335,38
0.04789423,0.494679557,0.605442177,0.494679557,0.605442177,0.053016453,0.605442177,0.605442177,0.605442177,0.605442177,,0.472292286,39
0.04789423,0.494679557,0.605442177,0.494679557,0.867627195,0.053016453,0.605442177,0.605442177,0.605442177,0.605442177,,0.498510788,40
0.04789423,0.494679557,0.605442177,0.494679557,0.867627195,0.053016453,0.605442177,0.605442177,0.605442177,0.605442177,,0.498510788,41
0.04789423,0.494679557,0.605442177,0.494679557,0.867627195,0.053016453,0.867627195,0.867627195,0.605442177,0.867627195,,0.577166293,42
0.04789423,0.844884177,0.605442177,0.844884177,0.901732186,0.507429086,0.867627195,0.867627195,0.605442177,0.867627195,,0.696058979,43
0.494679557,0.844884177,0.867627195,0.844884177,0.901732186,0.507429086,0.867627195,0.867627195,0.867627195,0.867627195,,0.793174516,44
0.494679557,0.844884177,0.867627195,0.844884177,0.901732186,0.507429086,0.901732186,0.901732186,0.867627195,0.901732186,,0.803406013,45
0.494679557,0.899485787,0.867627195,0.899485787,0.90491876,0.84789234,0.901732186,0.901732186,0.867627195,0.901732186,,0.848691318,46
0.844884177,0.899485787,0.901732186,0.899485787,0.90491876,0.84789234,0.901732186,0.901732186,0.901732186,0.901732186,,0.890532778,47
0.844884177,0.899485787,0.901732186,0.899485787,0.90491876,0.84789234,0.90491876,0.90491876,0.901732186,0.90491876,,0.89148875,48
0.844884177,0.899485787,0.901732186,0.904715241,0.905205971,0.899788789,0.90491876,0.90491876,0.901732186,0.90491876,,0.897230062,49
0.899485787,0.899485787,0.901732186,0.904715241,0.905205971,0.899788789,0.90491876,0.90491876,0.90491876,0.90491876,,0.90300888,50
0.899485787,0.904715241,0.901732186,0.904715241,0.905205971,0.899788789,0.905205971,0.90491876,0.90491876,0.905205971,,0.903589268,51
0.899485787,0.904715241,0.90491876,0.905187679,0.905231772,0.904742743,0.905205971,0.90491876,0.90491876,0.905205971,,0.904453145,52
0.904715241,0.904715241,0.90491876,0.905187679,0.905231772,0.904742743,0.905205971,0.905205971,0.905205971,0.905205971,,0.905033532,53
0.904715241,0.905187679,0.90491876,0.905187679,0.905231772,0.904742743,0.905231772,0.905205971,0.905205971,0.905231772,,0.905085936,54
0.904715241,0.905187679,0.905205971,0.905230129,0.905234089,0.905190151,0.905231772,0.905205971,0.905205971,0.905231772,,0.905163875,55
0.905187679,0.905187679,0.905205971,0.905230129,0.905234089,0.905190151,0.905231772,0.905231772,0.905231772,0.905231772,,0.905216279,56
0.905187679,0.905230129,0.905205971,0.905230129,0.905234089,0.905190151,0.905234089,0.905231772,0.905231772,0.905234089,,0.905220987,57
0.905187679,0.905230129,0.905231772,0.905233942,0.905234297,0.905230351,0.905234089,0.905231772,0.905231772,0.905234089,,0.905227989,58
0.905230129,0.905230129,0.905231772,0.905233942,0.905234297,0.905230351,0.905234089,0.905234089,0.905234089,0.905234089,,0.905232698,59
0.905230129,0.905233942,0.905231772,0.905233942,0.905234297,0.905230351,0.905234297,0.905234089,0.905234089,0.905234297,,0.905233121,60
0.905230129,0.905233942,0.905234089,0.905234284,0.905234316,0.905233962,0.905234297,0.905234089,0.905234089,0.905234297,,0.905233749,61
0.905233942,0.905233942,0.905234089,0.905234284,0.905234316,0.905233962,0.905234297,0.905234297,0.905234297,0.905234297,,0.905234172,62
0.905233942,0.905234284,0.905234089,0.905234284,0.905234316,0.905233962,0.905234316,0.905234297,0.905234297,0.905234316,,0.90523421,63
0.905233942,0.905234284,0.905234297,0.905234315,0.905234318,0.905234286,0.905234316,0.905234297,0.905234297,0.905234316,,0.905234267,64
0.905234284,0.905234284,0.905234297,0.905234315,0.905234318,0.905234286,0.905234316,0.905234316,0.905234316,0.905234316,,0.905234305,65
0.905234284,0.905234315,0.905234297,0.905234315,0.905234318,0.905234286,0.905234318,0.905234316,0.905234316,0.905234318,,0.905234308,66
0.905234284,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.905234316,0.905234316,0.905234318,,0.905234313,67
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,68
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,69
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,70
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,71
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,72
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,73
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,74
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,75
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,76
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,77
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,78
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,79
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,80
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,81
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,82
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,83
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,84
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,85
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,86
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,87
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,88
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,89
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,90
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,91
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,92
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,93
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,94
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,95
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,96
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,97
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,98
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,99
0.253314804,0.905234315,0.905234316,0.905234315,0.905234318,0.905234315,0.905234318,0.253314825,0.253314825,0.905234318,,0.709658467,100
